City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
104,Sitka,US,2020-06-21 20:32:47,57.05,-135.33,53.6,71,90,3.36
105,Olafsvik,IS,2020-06-21 20:32:47,64.89,-23.71,55.0,72,17,23.0
106,Beringovskiy,RU,2020-06-21 20:32:03,63.05,179.32,51.21,48,0,4.81
107,Wewak,PG,2020-06-21 20:32:47,-3.55,143.63,79.41,84,39,5.35
108,Tual,ID,2020-06-21 20:28:34,-5.67,132.75,79.72,81,25,22.03
109,Cidreira,BR,2020-06-21 20:32:48,-30.18,-50.21,72.16,69,31,8.66
110,Hofn,IS,2020-06-21 20:32:48,64.25,-15.21,50.83,87,100,17.87
111,Touros,BR,2020-06-21 20:32:48,-5.2,-35.46,78.8,78,20,10.29
112,Wattegama,LK,2020-06-21 20:32:50,6.8,81.48,78.94,74,100,2.68
113,Saskylakh,RU,2020-06-21 20:32:50,71.92,114.08,52.66,63,65,8.52
114,Ust-Maya,RU,2020-06-21 20:32:50,60.42,134.53,56.86,57,92,6.22
115,Bowen,AU,2020-06-21 20:32:50,-20.02,148.23,66.99,88,75,6.82
116,Antofagasta,CL,2020-06-21 20:30:55,-23.65,-70.4,60.8,72,20,12.75
117,Faya,SA,2020-06-21 20:32:51,18.39,42.45,71.6,60,67,1.83
118,Bengkulu,ID,2020-06-21 20:32:51,-3.8,102.27,76.37,88,97,4.61
119,Pueblo Nuevo,MX,2020-06-21 20:32:52,23.38,-105.38,78.39,55,39,6.98
120,Dinguiraye,GN,2020-06-21 20:32:52,11.3,-10.72,81.91,63,15,3.24
121,Thompson,CA,2020-06-21 20:28:35,55.74,-97.86,57.2,87,90,10.29
122,Bredasdorp,ZA,2020-06-21 20:32:15,-34.53,20.04,57.2,93,66,3.09
123,Opuwo,NA,2020-06-21 20:32:52,-18.06,13.84,54.34,41,0,6.51
124,Mumbwa,ZM,2020-06-21 20:32:53,-14.98,27.06,51.26,83,0,3.76
125,Broome,US,2020-06-21 20:32:53,42.25,-75.83,82.0,59,19,3.0
126,Nolinsk,RU,2020-06-21 20:32:53,57.56,49.94,42.82,79,7,4.23
127,Salinopolis,BR,2020-06-21 20:30:31,-0.61,-47.36,79.48,86,94,13.15
128,Sawtell,AU,2020-06-21 20:32:54,-30.38,153.1,46.0,93,2,5.82
129,Biskupiec,PL,2020-06-21 20:32:54,53.86,20.96,65.88,94,100,6.71
130,Cayenne,GF,2020-06-21 20:32:55,4.93,-52.33,86.0,66,20,14.99
131,Severo-Kurilsk,RU,2020-06-21 20:32:55,50.68,156.12,46.45,83,83,6.44
132,Logon,PH,2020-06-21 20:32:55,11.33,124.11,82.13,81,49,9.06
133,Solton,RU,2020-06-21 20:32:56,52.84,86.48,43.32,91,73,2.42
134,Aykhal,RU,2020-06-21 20:32:56,66.0,111.5,66.2,48,20,6.71
135,Portland,US,2020-06-21 20:30:39,45.52,-122.68,72.0,52,75,8.05
136,Zhanaozen,KZ,2020-06-21 20:32:56,43.3,52.8,82.47,17,80,20.22
137,Aksu,CN,2020-06-21 20:29:03,41.12,80.26,72.14,21,0,1.07
138,Shaping,CN,2020-06-21 20:32:57,22.75,112.96,84.0,87,80,5.01
139,Carbondale,US,2020-06-21 20:32:57,37.73,-89.22,82.99,54,20,4.7
140,El Paso,US,2020-06-21 20:30:19,31.76,-106.49,99.0,8,20,10.29
141,Vesyegonsk,RU,2020-06-21 20:32:57,58.66,37.26,49.71,79,0,2.21
142,Khandagayty,RU,2020-06-21 20:32:57,50.73,92.05,39.18,76,100,12.39
143,Poum,NC,2020-06-21 20:32:58,-20.23,164.02,72.14,72,56,12.68
144,Impfondo,CG,2020-06-21 20:32:58,1.64,18.07,75.4,69,100,0.67
145,Bilibino,RU,2020-06-21 20:28:30,68.05,166.44,75.7,35,0,5.86
146,Sainte-Marie,RE,2020-06-21 20:32:58,-20.9,55.55,69.8,77,20,13.87
147,Tiksi,RU,2020-06-21 20:32:08,71.69,128.87,44.06,78,4,13.11
148,Port Blair,IN,2020-06-21 20:32:59,11.67,92.75,82.76,80,100,8.41
149,Chuy,UY,2020-06-21 20:32:59,-33.7,-53.46,58.93,95,64,5.06
150,Awjilah,LY,2020-06-21 20:32:59,29.11,21.29,75.02,54,0,13.78
151,Longyearbyen,SJ,2020-06-21 20:32:59,78.22,15.64,42.8,70,40,3.36
152,Bethel,US,2020-06-21 20:32:59,41.37,-73.41,89.01,48,20,8.05
153,Wamba,NG,2020-06-21 20:33:00,8.93,8.6,73.81,91,95,2.77
154,Arlit,NE,2020-06-21 20:32:52,18.74,7.39,96.12,9,61,4.56
155,Pauini,BR,2020-06-21 20:33:00,-7.71,-66.98,90.43,50,1,2.15
156,Caldwell,US,2020-06-21 20:33:00,43.66,-116.69,81.0,39,1,3.36
157,Cockburn Town,TC,2020-06-21 20:28:55,21.46,-71.14,86.0,70,40,9.17
158,Ibra,OM,2020-06-21 20:33:01,22.69,58.53,82.99,69,37,4.09
159,Nagato,JP,2020-06-21 20:33:01,34.38,131.2,69.8,88,20,2.24
160,Sauca,RO,2020-06-21 20:33:01,47.47,22.48,64.4,93,100,5.82
161,Qaanaaq,GL,2020-06-21 20:33:01,77.48,-69.36,39.38,72,8,3.53
162,Dehloran,IR,2020-06-21 20:33:02,32.69,47.27,85.51,25,0,6.89
163,Zharkent,KZ,2020-06-21 20:33:02,44.16,80.0,62.65,30,0,5.53
164,Aktash,RU,2020-06-21 20:33:02,50.3,87.73,27.23,99,100,5.23
