City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Rain,Snow
90,Ancud,CL,-41.87,-73.82,44.01,93,20,5.82,few clouds,0.0,0.0
91,Pevek,RU,69.7,170.31,31.84,96,16,16.22,few clouds,0.0,0.0
92,Bredasdorp,ZA,-34.53,20.04,44.6,100,22,4.29,few clouds,0.0,0.0
93,Viedma,AR,-40.81,-63.0,52.3,49,100,12.08,overcast clouds,0.0,0.0
94,Altamirano,MX,16.88,-92.15,61.5,100,100,2.33,moderate rain,1.36,0.0
95,Gunjur,GM,13.2,-16.73,80.6,83,20,10.29,few clouds,0.0,0.0
96,Emerald,AU,-23.53,148.17,63.0,38,0,5.82,clear sky,0.0,0.0
97,Xuddur,SO,4.12,43.89,73.02,74,43,20.02,scattered clouds,0.0,0.0
98,Saskylakh,RU,71.92,114.08,82.24,32,21,6.29,few clouds,0.0,0.0
99,Muros,ES,42.78,-9.06,68.0,76,0,5.01,clear sky,0.0,0.0
100,Port Hardy,CA,50.7,-127.42,57.2,100,90,6.93,light rain,0.0,0.0
101,Novo Aripuana,BR,-5.12,-60.38,80.44,65,77,1.63,broken clouds,0.0,0.0
102,Inirida,CO,3.87,-67.92,75.22,96,100,2.15,overcast clouds,0.0,0.0
103,Airai,TL,-8.93,125.41,65.12,74,0,4.5,clear sky,0.0,0.0
104,Zeya,RU,53.75,127.27,67.48,41,0,5.06,clear sky,0.0,0.0
105,Coihaique,CL,-45.58,-72.07,37.4,86,90,3.36,light intensity shower rain,0.0,0.0
106,Hovd,MN,48.01,91.64,54.7,40,0,1.03,clear sky,0.0,0.0
107,Port Alfred,ZA,-33.59,26.89,59.0,57,0,4.0,clear sky,0.0,0.0
108,Namibe,AO,-15.2,12.15,69.3,75,0,6.96,clear sky,0.0,0.0
109,New Norfolk,AU,-42.78,147.06,55.0,92,100,1.99,moderate rain,1.27,0.0
110,Grindavik,IS,63.84,-22.43,46.4,93,75,9.17,broken clouds,0.0,0.0
111,Moba,CN,33.23,105.02,63.86,71,12,3.29,few clouds,0.0,0.0
112,Mogadishu,SO,2.04,45.34,79.0,83,93,18.14,overcast clouds,0.0,0.0
113,Hofn,IS,64.25,-15.21,46.98,81,100,0.98,light rain,0.24,0.0
114,Porto Novo,BJ,6.5,2.6,75.2,88,20,3.36,few clouds,0.0,0.0
115,Saint George,US,37.1,-113.58,104.0,9,1,12.75,clear sky,0.0,0.0
116,General Roca,AR,-39.03,-67.58,46.4,75,71,2.24,broken clouds,0.0,0.0
117,Ornskoldsvik,SE,63.29,18.72,50.0,87,0,3.36,clear sky,0.0,0.0
118,Asau,RO,46.43,26.4,57.99,94,64,2.68,broken clouds,0.0,0.0
119,Caravelas,BR,-17.71,-39.25,69.31,82,0,2.75,clear sky,0.0,0.0
120,Skibbereen,IE,51.55,-9.27,57.2,100,90,17.22,light intensity drizzle rain,0.0,0.0
121,Musoma,TZ,-1.5,33.8,68.0,94,40,10.83,scattered clouds,0.0,0.0
122,Nome,US,64.5,-165.41,60.8,63,40,14.99,scattered clouds,0.0,0.0
123,Poya,NC,-21.35,165.15,78.39,56,40,1.97,scattered clouds,0.0,0.0
124,Geraldton,AU,-28.77,114.6,64.4,63,75,16.11,broken clouds,0.0,0.0
125,Port Hedland,AU,-20.32,118.57,66.2,52,0,5.82,clear sky,0.0,0.0
126,Isangel,VU,-19.55,169.27,80.6,74,75,5.82,broken clouds,0.0,0.0
127,Thompson,CA,55.74,-97.86,64.4,77,75,5.82,broken clouds,0.0,0.0
128,Bad Aussee,AT,47.61,13.78,60.8,93,75,8.05,broken clouds,0.0,0.0
129,Henties Bay,NA,-22.12,14.28,62.49,48,0,3.83,clear sky,0.0,0.0
130,Hrubieszow,PL,50.8,23.89,63.07,95,94,11.36,overcast clouds,0.0,0.0
131,Nicolet,CA,46.22,-72.62,82.99,69,40,5.82,scattered clouds,0.0,0.0
132,Batagay-Alyta,RU,67.8,130.41,77.49,42,1,5.77,clear sky,0.0,0.0
133,Laguna,US,38.42,-121.42,100.0,25,1,11.41,clear sky,0.0,0.0
134,Lagoa,PT,39.05,-27.98,66.74,92,53,19.98,broken clouds,0.0,0.0
135,San Patricio,MX,19.22,-104.7,87.8,70,75,9.17,broken clouds,0.0,0.0
136,Churapcha,RU,62.0,132.43,72.75,42,33,4.07,scattered clouds,0.0,0.0
137,Lata,PT,40.16,-8.33,64.99,94,0,1.01,clear sky,0.0,0.0
138,Kuching,MY,1.55,110.33,77.0,94,20,2.24,few clouds,0.0,0.0
139,Waipawa,NZ,-41.41,175.52,55.99,100,4,3.36,clear sky,0.0,0.0
140,Sibolga,ID,1.74,98.78,78.01,82,100,1.66,overcast clouds,0.0,0.0
141,Salalah,OM,17.02,54.09,82.4,88,75,4.7,broken clouds,0.0,0.0
142,Bathsheba,BB,13.22,-59.52,82.4,74,20,20.8,few clouds,0.0,0.0
143,Waw,SS,7.7,28.0,71.37,85,35,3.42,scattered clouds,0.0,0.0
144,Syasstroy,RU,60.14,32.57,51.73,69,0,1.79,clear sky,0.0,0.0
145,Daru,PG,-9.08,143.21,79.68,84,30,15.64,light rain,0.65,0.0
146,Christchurch,NZ,-43.53,172.63,51.01,100,61,4.7,mist,0.0,0.0
147,Bluff,NZ,-46.6,168.33,46.36,78,100,4.43,overcast clouds,0.0,0.0
148,Mandalgovi,MN,45.76,106.27,70.11,23,63,7.05,broken clouds,0.0,0.0
149,Artigas,UY,-30.4,-56.47,68.54,86,100,11.21,overcast clouds,0.0,0.0
150,Tiarei,PF,-17.53,-149.33,82.4,58,40,6.93,scattered clouds,0.0,0.0
151,Kaitong,CN,44.81,123.15,66.06,92,100,11.14,moderate rain,1.28,0.0
152,Itoman,JP,26.12,127.67,82.4,100,75,12.75,thunderstorm with heavy rain,0.0,0.0
153,Baruun-Urt,MN,46.68,113.28,64.72,76,32,5.44,scattered clouds,0.0,0.0
154,Santo Antonio Do Ica,BR,-3.1,-67.94,74.19,96,74,0.45,moderate rain,1.07,0.0
155,Bilma,NE,18.69,12.92,87.1,12,0,6.42,clear sky,0.0,0.0
156,Broken Hill,AU,-31.95,141.43,50.0,76,90,13.87,overcast clouds,0.0,0.0
157,Georgetown,MY,5.41,100.34,78.8,94,20,2.24,few clouds,0.0,0.0
158,Kemijarvi,FI,66.71,27.43,55.44,61,53,6.02,broken clouds,0.0,0.0
159,Faanui,PF,-16.48,-151.75,77.61,74,6,19.62,clear sky,0.0,0.0
160,Victoria,HK,22.29,114.16,88.0,70,100,11.01,overcast clouds,0.0,0.0
161,Kaitangata,NZ,-46.28,169.85,44.01,72,7,5.01,clear sky,0.0,0.0
162,Vanimo,PG,-2.67,141.3,85.89,63,0,6.33,light rain,0.31,0.0
163,Fortuna,US,40.6,-124.16,72.0,72,20,12.75,few clouds,0.0,0.0
164,Taywarah,AF,33.35,64.42,58.71,34,0,2.1,clear sky,0.0,0.0
165,Lavrentiya,RU,65.58,-171.0,44.87,61,100,13.51,overcast clouds,0.0,0.0
166,Bubaque,GW,11.28,-15.83,81.81,83,39,12.17,scattered clouds,0.0,0.0
167,Ilulissat,GL,69.22,-51.1,46.4,70,41,3.36,scattered clouds,0.0,0.0
168,Omsukchan,RU,62.53,155.8,78.4,27,45,2.93,scattered clouds,0.0,0.0
169,Huarmey,PE,-10.07,-78.15,62.47,85,58,6.38,broken clouds,0.0,0.0
170,Rincon,US,32.3,-81.24,87.8,62,40,11.41,scattered clouds,0.0,0.0
171,Honiara,SB,-9.43,159.95,84.2,79,75,3.36,broken clouds,0.0,0.0
172,Tazovskiy,RU,67.47,78.7,44.1,86,100,11.5,overcast clouds,0.0,0.0
173,Kruisfontein,ZA,-34.0,24.73,51.96,58,0,5.37,clear sky,0.0,0.0
174,Pakhtakoron,TJ,40.16,68.75,77.0,29,4,11.95,clear sky,0.0,0.0
175,Santa Isabel Do Rio Negro,BR,-0.41,-65.02,74.16,96,100,2.1,moderate rain,1.71,0.0
176,Kaeo,NZ,-35.1,173.78,63.0,3,45,14.0,light rain,0.42,0.0
177,Nizhniy Kuranakh,RU,58.84,125.49,68.31,56,90,4.5,light rain,0.27,0.0
